  --------Команда союзников----------      -------Команда противников---------
  
   ID:  |        Обозначение:               ID:  |       Обозначение:      
    1   |  База союзников (флаг)            11   |  База врага (флаг) 
    2   |  Медпункт                         12   |  Медпункт
    3   |  Склад боеприпасов                13   |  Склад боеприпасов
    4   |  Оборонительная позиция № 1       14   |  Оборонительная позиция № 1
    5   |  Оборонительная позиция № 2       15   |  Оборонительная позиция № 2
    6   |  Оборонительная позиция № 3       16   |  Оборонительная позиция № 3
    7   |  Оборонительная позиция № 4       17   |  Оборонительная позиция № 4
    8   |  Наступательная позиция № 1       18   |  Наступательная позиция № 1
    9   |  Наступательная позиция № 2       19   |  Наступательная позиция № 2
    10  |  Наступательная позиция № 3       20   |  Наступательная позиция № 3
